Prev Close,Open,High,Low,Last,VWAP,Volume,Turnover,Trades,Deliverable Volume,Deliverble,MA_20,Upper_Band,Lower_Band,Volatility,Close_lag_1d,Volume_lag_1d,Volatility_lag_1d,Close_lag_5d,Volume_lag_5d,MA_5,Volume_MA_5,Rolling_Std_20,volume_adi,volume_obv,volume_cmf,volume_fi,volume_em,volume_sma_em,volume_vpt,volume_vwap,volume_mfi,volume_nvi,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_atr,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_stc,trend_adx,trend_adx_pos,trend_adx_neg,trend_cci,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,momentum_pvo,momentum_pvo_signal,momentum_pvo_hist,momentum_kama,others_dr,others_dlr,others_cr
143.05,143.3,145.55,142.0,143.8,143.2,1580236,22628881385000.0,9737.0,1243143,0.7867000000000001,144.95,154.5090133822469,135.39098661775307,3.5500000000000114,143.05,718239.0,3.3000000000000114,139.15,1735290.0,141.67000000000002,1503776.2,4.77950669112685,1621482.7170944293,6327282,0.05664280332481359,501110.3236328218,252.73123761261058,-566.116219199596,99976.38793543118,144.20888108106945,53.957292472208366,1023.8488499725814,144.95,154.26697375761034,135.63302624238963,12.855431193667274,0.45706760473879615,0.0,0.0,144.18166666666667,150.44166666666666,137.92166666666668,8.683489579118921,0.49747071352502664,0.0,0.0,135.0,157.6,146.3,15.591583304587786,0.4048672566371685,6.813459683864506,7.305879806041456,0.11297953194363686,0.6247597730376667,-0.5117802410940299,143.78333333333333,144.95,143.49590993686311,143.38293040491948,0.9419419419419419,1.0515515515515512,-0.1096096096096093,0.07689397177077055,20.58745723157295,-6.549999999999983,-384.98977032715436,-428.8053093858316,43.815539058677246,144.02499999999998,146.3,145.1625,146.3,0.0,0.0,18.94377189929238,20.126029557131034,-20.095123955106004,274.1457594086021,271.5808064516129,12.0,0.0,12.0,140.44069935712002,148.1846224,0.0,0.0,51.03711576968226,0.4955367296640658,0.34140343159704906,0.20590560804582925,18.777864854906706,44.254800141480764,50.70821529745051,44.392436554838156,-49.29178470254949,-3.9312499999999773,-2.005438477226369,0.07879566390823362,0.4348684520419877,-0.3560727881337541,-1.7532036229456542,-2.0105095791401077,0.2573059561944535,143.96997112246464,0.7689619014330518,0.7660204588291641,2.964285714285708
144.15,145.0,147.95,144.15,146.6,145.97,886834,12945271965000.0,11877.0,276880,0.3122,145.3075,154.61862944700147,135.99637055299854,3.799999999999983,144.15,1580236.0,3.5500000000000114,140.3,1532614.0,143.04000000000002,1374620.2,4.655564723504213,2134912.9276207513,7214116,0.03745424807504752,809594.848828133,974.8160309595628,-407.93140160985524,118432.87076581622,144.18886927673944,61.450936263036546,1045.1568385256007,145.3075,154.3828663837886,136.2321336162114,12.49125665748651,0.6015110532226706,0.0,0.0,144.36333333333332,150.44333333333333,138.28333333333333,8.423191484448958,0.7291666666666675,0.0,0.0,135.2,157.6,146.39999999999998,15.41558419214425,0.5334821428571435,6.512113715478054,7.031203483530179,0.3961050417365186,0.5790288267774371,-0.18292378504091844,144.51250000000002,145.0547619047619,144.05807763888419,143.66197259714767,0.9968421052631578,1.0084210526315787,-0.011578947368420911,0.07003901521734396,21.411551328115884,0.9424999999999955,-360.2766792325255,-417.9995810944973,57.72290186197176,144.02499999999998,146.3,145.1625,146.3,2.5158953531883688,0.0,20.672505479396296,19.339119382357005,19.744708353530097,274.1457594086021,271.5808064516129,12.0,0.0,12.0,135.2,148.1846224,1.0,0.0,54.56040506646588,0.7296543896822376,0.49777245616837007,0.33846680315814875,18.75770495834295,48.86110697206289,67.7053824362607,54.25462673986234,-32.2946175637393,-2.7592857142857383,6.322254335260115,0.2757201746402743,0.40303879656164504,-0.12731862192137072,-4.840834134469926,-2.5765744902060717,-2.2642596442638543,144.02073678923384,2.0811654526534884,2.0598050595070916,5.107142857142866
147.15,147.45,149.9,145.75,147.25,147.81,856476,12659654410000.0,10284.0,276539,0.3229,145.60250000000002,154.80561589110636,136.39938410889368,4.150000000000006,147.15,886834.0,3.799999999999983,137.95,1907732.0,144.97,1164369.0,4.60155794555668,2042042.036054483,8070592,0.028519993678625274,748997.6132812555,860.0649638752323,-363.6212241519061,121052.0634263666,144.14934822157838,60.59606116075345,1048.3530368085535,145.60250000000002,154.57258779221254,136.6324122077875,12.321337603698456,0.6113422770362473,0.0,0.0,144.22833333333332,149.99333333333334,138.46333333333334,7.994268347643206,0.7924255565192242,0.0,0.0,135.2,157.6,146.39999999999998,15.384351230232998,0.5535714285714287,6.275902343930249,6.91102946068981,0.6493104406712291,0.5930851495561955,0.056225291115033604,144.625,145.17045454545453,144.60298877136353,143.9536783306923,1.0037756202804746,0.9908306364617044,0.012944983818770184,0.06856671039291184,22.230459493929917,-1.7025000000000148,-336.25590780146223,-405.108806563072,68.85289876160977,144.02499999999998,146.3,145.1625,146.3,8.274045130461232,0.0,21.82942066012807,18.488906905748966,40.491001078211696,274.1457594086021,271.5808064516129,12.0,0.0,12.0,135.45499999999998,148.1846224,0.0,0.0,55.08252775116932,0.7643487139027224,0.6631799444163419,0.5007852773939204,18.856302751468444,55.36992626464705,70.25495750708215,62.889518413597784,-29.745042492917836,-1.018636363636375,0.9230769230769191,0.4510551228705838,0.4126420618234328,0.038413061047150976,-7.557608621714371,-3.5727813165077316,-3.984827305206639,144.0974600098494,0.3058103975535076,0.30534374868897984,5.428571428571427
147.6,149.0,152.9,145.75,151.5,150.36,1749511,26305587770000.0,22821.0,660950,0.3778,145.6575,154.9686859722807,136.3463140277193,7.150000000000006,147.6,856476.0,4.150000000000006,142.9,1780060.0,146.49,1158259.2,4.655592986143827,2617056.140949586,9820103,0.012993239861178254,1366795.3685267917,613.0284405185225,139.66694563037836,155425.92453747767,144.76530166822772,66.50826498019465,1048.3530368085535,145.6575,154.73292147781578,136.58207852218422,12.461317100479935,0.7667920168687011,0.0,0.0,144.16,150.195,138.125,8.372641509433958,1.0252692626346318,1.0,0.0,135.2,157.6,146.39999999999998,15.378542127937116,0.6830357142857146,6.363312109537224,6.262754640443095,1.0716302211395146,0.6887941638728594,0.38283605726665515,145.17499999999998,145.40217391304347,145.51022126807683,144.43859104693732,1.086859688195991,0.9320712694877507,0.15478841870824045,0.07457351238477698,23.13103446260751,5.342500000000001,-312.53510182125495,-389.887256205536,77.35215438428105,144.05,146.3,145.175,146.3,19.434534913651063,0.0,23.347493402169288,17.094499152314597,75.3623188405797,274.1457594086021,271.5808064516129,12.0,0.0,12.0,136.03279999999998,148.1846224,0.0,0.0,58.39995975084323,0.9847874436266976,0.8262635157372191,0.6624053054406437,19.687555093267928,58.37127744872947,86.44067796610167,74.80033930314818,-13.559322033898324,0.5326086956521863,4.586518415566362,0.7419279109357093,0.47849923164588815,0.26342867928982117,-4.30396528828851,-3.719018110863887,-0.5849471774246231,144.1288869718634,1.9647696476964738,1.9457172022558034,7.499999999999996
150.5,151.2,155.75,150.65,152.35,153.44,1744030,26759529580000.0,19690.0,693099,0.3974,145.52,154.29096885963648,136.74903114036354,5.099999999999994,150.5,1749511.0,7.150000000000006,143.05,718239.0,148.41,1363417.4,4.3854844298219255,2240892.8076162543,11564133,-0.02359352101174044,1707205.2444515373,1133.1513792767314,196.7524447427501,180340.63882319187,145.53660878002202,67.43686789758426,1063.3295087629613,145.52,154.06888296796723,136.9711170320328,11.749426838877428,0.917013545905132,0.0,0.0,144.5533333333333,150.44333333333333,138.66333333333336,8.149241341142814,1.1873231465761191,1.0,0.0,135.2,155.75,145.475,14.121770203408474,0.8491484184914846,6.251980898583502,6.061826880870836,1.5618052033167942,0.8633963717616464,0.6984088315551478,145.3125,145.70416666666668,146.60864876529578,145.046843561979,1.1543985637342908,0.9042489527229205,0.25014961101137034,0.08809655598015519,24.03596322871942,4.72999999999999,-285.7123733601277,-371.9149614410349,86.20258808090722,145.475,146.3,145.8875,146.3,54.35706460746503,0.0,25.08871754263443,16.132409098551925,143.39250493096588,274.1457594086021,271.5808064516129,12.0,0.0,12.0,137.04483199999999,148.1846224,0.0,0.0,60.71641029828764,1.0,0.9163787191764733,0.8019407264433448,20.925643456437314,57.4911678857923,84.91484184914846,80.53682577411077,-15.085158150851546,2.3172916666666765,1.0927152317880833,1.076759179974454,0.5981512213116014,0.47860795866285266,-1.814726280289206,-3.3381597447489515,1.5234334644597456,144.36208222812456,1.4285714285714235,1.418463499195699,9.035714285714281
152.65,155.75,157.75,142.4,143.5,151.21,1863666,28180769820000.0,26638.0,628868,0.3374,145.375,154.1562299821762,136.5937700178238,15.349999999999994,152.65,1744030.0,5.099999999999994,144.15,1580236.0,148.35,1420103.4,4.390614991091796,729320.0584305839,9700467,-0.036955499256728336,-879575.619041542,-2573.891995668751,-84.96360243892286,72903.62080812464,145.7948032616654,59.9938753712659,1063.3295087629613,145.375,153.9338842730814,136.8161157269186,11.774905276810166,0.410911285201256,0.0,0.0,145.13833333333332,151.40333333333334,138.8733333333333,8.633143093370714,0.3971801010907164,0.0,0.0,135.2,157.75,146.475,15.511607910576103,0.38359201773835927,7.161782808725152,5.933619643659472,1.2260527796287022,0.9359276533350577,0.2901251262936445,144.77916666666667,145.63,146.18424126294258,144.95818848331388,0.9946409431939979,0.884780278670954,0.10986066452304388,0.09388784486632529,25.210129533016907,2.7249999999999943,-261.2476873143638,-352.56128495536416,91.31359764100034,146.475,146.375,146.425,146.375,77.17853230373251,0.0,21.311979274859944,21.79457246974741,46.25407166123781,274.1457594086021,271.5808064516129,96.0,0.0,96.0,138.54124543999998,148.1846224,0.0,0.0,48.75068783265416,0.30175028965836104,0.7621792444283528,0.8349404931140151,18.4825686859676,42.568809706442025,38.35920177383593,69.90490719636203,-61.640798226164065,3.4029999999999916,-4.259567387687191,0.8457975313135435,0.6476804833119898,0.19811704800155372,0.7444729258102435,-2.5216332106371127,3.2661061364473563,144.34739861984534,-5.76482148706191,-5.937662918332975,2.749999999999986
143.85,142.0,145.4,140.5,144.95,143.69,1533912,22040961465000.0,11593.0,886359,0.5778,145.075,153.58966227657214,136.56033772342784,4.900000000000006,143.85,1863666.0,15.349999999999994,147.15,886834.0,147.73,1549519.0,4.257331138289883,1418015.2421040577,11234379,-0.022894323302254015,-710095.9020356039,-2276.0432149953867,-318.37245102724535,75036.27565692582,145.22178909544908,50.717752587983185,1064.8078952888745,145.075,153.37406621253257,136.7759337874674,11.441070084483998,0.43824606445167863,0.0,0.0,145.46333333333334,151.54833333333335,139.37833333333333,8.366369531840794,0.3838674335798418,0.0,0.0,135.2,157.75,146.475,15.543684301223514,0.39246119733924695,6.935604527852638,6.07472916059845,0.9649811909314394,0.941738360854334,0.02324283007710537,144.44166666666666,145.56923076923078,145.8558964532591,144.89091526232767,0.9540420819490586,1.0692137320044297,-0.11517165005537111,0.09434792926495371,25.28325948209572,-5.924999999999983,-246.80552223051953,-333.00143948209393,86.1959172515744,147.475,146.375,146.925,146.375,86.62123831460374,0.0,20.263349820297567,22.630098407749696,-42.627461095348515,274.1457594086021,271.5808064516129,96.0,0.0,96.0,140.462120896,148.1846224,0.0,0.0,48.996703683998405,0.3161063385667274,0.5392855427416962,0.7392811687821741,16.598925707747448,43.068411140128944,39.246119733924694,54.17338778563636,-60.753880266075306,2.896153846153851,-2.7346387575962074,0.6660053110882234,0.6513454488672366,0.014659862220986808,0.929017555975023,-1.8315030573146855,2.7605206132897084,144.340599832871,0.13903371567607348,0.13893715329800216,2.8928571428571415
144.05,145.05,146.5,141.0,142.25,142.67,527338,7523669970000.0,7730.0,244104,0.4629,145.05,153.59073828929246,136.50926171070756,5.5,144.05,1533912.0,4.900000000000006,147.6,856476.0,146.75,1483691.4,4.270369144650021,1216668.005740419,10707041,0.02182721480031551,-710354.5303162336,834.379468196865,-349.5223291749368,70094.19790614473,144.96205143001362,49.918586854447234,1054.8287862389611,145.05,153.3744819658643,136.72551803413572,11.478086130112779,0.35885007561812693,0.0,0.0,145.97166666666664,151.94666666666666,139.99666666666667,8.186520215110232,0.22622036262203526,0.0,0.0,135.2,157.75,146.475,15.546363322992079,0.33259423503325924,6.792044075067375,6.257204721502555,0.6417486790924727,0.8817404245019618,-0.2399917454094891,144.73749999999998,145.67307692307693,145.37037392198846,144.728625242896,0.9189928845101258,1.0662287903667211,-0.1472359058565953,0.0892068202659748,25.329648251711678,-4.75,-232.58431207696114,-313.1670961373465,80.58278406038536,149.125,146.475,147.8,146.375,83.132833928252,0.0,20.248565851923857,21.35968683588698,-37.78643542373579,138.0,138.0,92.0,60.0,32.0,140.462120896,157.75,0.0,1.0,47.34461228517966,0.2196999290084031,0.2791855190778305,0.5268834354159598,14.563240815124335,41.18277865638542,33.25942350332593,36.95491500369551,-66.74057649667408,2.15629629629629,2.5512037369744758,0.4434151696082479,0.6097593930154388,-0.1663442234071909,-4.57102338627446,-2.3794071231066405,-2.1916162631678193,144.28821155441418,-0.9371745921555208,-0.9415937047746681,1.9285714285714128
142.7,144.4,145.15,137.25,142.7,141.87,947560,13442886230000.002,13999.0,433571,0.4576,144.8775,153.3831931398531,136.3718068601469,7.900000000000006,142.7,527338.0,5.5,150.5,1749511.0,145.38000000000002,1323301.2,4.252846569930361,1804395.0943480143,11654601,0.0462653479985306,-480277.883128198,-2125.986744902697,-473.6418414589718,76402.41094048264,144.4948084139205,51.55560615566351,1054.8287862389611,144.8775,153.1678241794275,136.5871758205725,11.444598615281878,0.4259679131097164,0.0,0.0,146.03166666666667,152.10166666666666,139.96166666666664,8.313265387644241,0.30381658429434566,0.0,0.0,135.2,157.75,146.475,15.564873772670024,0.37472283813747287,6.902839667560639,6.329243150409693,0.4569739341577872,0.7967871264331269,-0.3398131922753397,145.01666666666668,145.74807692307692,145.10570101091332,144.64872707675553,0.9007551240560948,1.0814455231930957,-0.1806903991370009,0.081664355182635,25.354016667134978,-6.927500000000009,-219.14746640233088,-293.28386895185554,74.13640254952466,147.5,146.475,146.9875,146.375,72.58460175032377,8.300391892726834,18.630721429980586,23.445748759532197,-60.11339002834734,139.4,139.4,88.0,56.00000000000001,31.999999999999993,140.462120896,157.415,0.0,0.0,48.6565899352851,0.29625928568677384,0.2773551844206348,0.3652754154133872,13.175982945741941,44.63268947851679,37.47228381374728,36.65927568366596,-62.52771618625272,0.6921428571428407,2.3877405559515283,0.3159197757165891,0.5509914695556688,-0.23507169383907972,-6.65144358800475,-3.2338144160862625,-3.4176291719184877,144.28349458785806,0.6657323055361042,0.663526094250777,2.6071428571428523
143.65,144.8,149.45,144.1,148.65,146.92,629276,9245187830000.0,8877.0,244844,0.3891,145.3625,153.40671171434056,137.31828828565946,5.349999999999994,143.65,947560.0,7.900000000000006,152.65,1744030.0,144.46999999999997,1100350.4,4.022105857174295,2116092.5522919404,12283877,0.08039122186573401,-11627.014109885087,4739.772373330606,147.82198968810187,95896.16798886411,144.8114852718297,58.06312345281708,1087.5053480124618,145.3625,153.2030277245859,137.52197227541413,10.787552119130975,0.6745737083114881,0.0,0.0,146.475,152.75,140.2,8.56801501962793,0.6294820717131473,0.0,0.0,135.2,157.75,146.475,15.512941783472362,0.5720620842572062,6.792555700804573,5.734410123369484,0.6619854709279593,0.7698267953320934,-0.10784132440413408,145.86249999999998,145.69807692307694,145.56636239384974,144.90437692292178,1.0650172612197928,0.993095512082854,0.07192174913693883,0.07872283858218171,25.303779234652126,-2.4625000000000057,-201.0054428129621,-272.84116589472313,71.83572308176105,147.5,146.475,146.9875,146.375,67.28231097140035,7.727601608497665,21.928896716057977,22.0526290247582,38.43706249204561,142.775,142.775,84.0,52.0,32.0,140.462120896,156.6084,0.0,0.0,54.389434510551716,0.6307946282547104,0.38225128098329586,0.3129306614939204,13.353267761023782,48.941973492386616,57.20620842572061,42.64597191426461,-42.79379157427938,-0.6353448275862377,7.357738310982246,0.45684297809726326,0.5321617712639877,-0.07531879316672441,-10.377455257702874,-4.662542584409585,-5.714912673293289,144.41336878428947,3.097807170205358,3.0507935848454792,5.785714285714283
